# noADASFins (Up to date),,,
# 711 data points written for 4 variables.,,,
#,,,
# Time (s),Altitude (ft),,Vertical acceleration (ft/s)
# Event LAUNCH occurred at t=0 seconds,,,
# Event IGNITION occurred at t=0 seconds,,,
0,0,,-5.0605
0.01,0,,49.086
0.02,0.0024545,,103.25
0.03,0.012527,,156.97
0.04,0.035612,,179.91
# Event LIFTOFF occurred at t=0.05 seconds,,,
0.05,0.075544,,184.27
0.06,0.13369,,188.62
0.07,0.21048,,192.98
0.08,0.30636,,197.34
0.09,0.42176,,201.71
0.1,0.55711,,206.07
0.11,0.71286,,210.44
0.12,0.88943,,213.91
0.13,1.0872,,214.12
0.14,1.3064,,214.02
0.15,1.5471,,213.93
0.16,1.8091,,213.84
0.17,2.0925,,213.75
0.18,2.3973,,213.65
0.19,2.7235,,213.56
0.19974,3.0617,,213.47
# Event LAUNCHROD occurred at t=0.20891 seconds,,,
0.20891,3.3987,,213.39
0.22267,3.938,,213.21
0.24331,4.8226,,212.95
0.27427,6.3198,,212.54
0.32071,8.9479,,211.91
0.37071,12.289,,211.34
0.42071,16.16,,210.79
0.47071,20.56,,210.34
0.52071,25.486,,211.2
0.57071,30.939,,212.39
0.62071,36.922,,213.55
0.67071,43.438,,214.65
0.72071,50.49,,215.7
0.77071,58.079,,216.69
0.82071,66.209,,217.64
0.87071,74.882,,218.57
0.92071,84.101,,219.49
0.97071,93.867,,220.51
1.0207,104.18,,222
1.0707,115.05,,223.64
1.1207,126.48,,225.33
1.1707,138.47,,227.08
1.2207,151.02,,228.84
1.2707,164.15,,230.53
1.3207,177.85,,232.14
1.3707,192.12,,233.66
1.4207,206.98,,235.1
1.4707,222.43,,236.16
1.5207,238.46,,234.95
1.5707,255.09,,233.17
1.6207,272.29,,231.34
1.6707,290.08,,229.6
1.7207,308.45,,228.02
1.7707,327.38,,226.56
1.8207,346.89,,225.05
1.8707,366.95,,223.47
1.9207,387.58,,221.75
1.9707,408.77,,219.75
2.0207,430.51,,216.57
2.0707,452.79,,213.03
2.1207,475.6,,209.54
2.1707,498.95,,206.15
2.2207,522.81,,202.87
2.2707,547.19,,199.62
2.3207,572.07,,196.24
2.3707,597.44,,192.74
2.4207,623.3,,189.15
2.4707,649.63,,185.72
2.5207,676.43,,182.86
2.5707,703.7,,180.16
2.6207,731.41,,177.49
2.6707,759.57,,174.81
2.7207,788.18,,171.94
2.7707,817.21,,168.91
2.8207,846.67,,165.96
2.8707,876.55,,163.08
2.9207,906.83,,153.1
2.9707,937.51,,126.04
3.0207,968.54,,59.193
3.0707,999.81,,-11.348
3.1207,1031.1,,-46.483
3.1707,1062.4,,-59.35
3.2207,1093.5,,-68.026
# Event BURNOUT occurred at t=3.24 seconds,,,
3.24,1105.5,,-70.393
3.2689,1123.4,,-70.121
3.3123,1150.1,,-69.75
3.3623,1180.7,,-69.259
3.4123,1211.2,,-68.644
3.4623,1241.5,,-68.156
3.5123,1271.6,,-67.73
3.5623,1301.6,,-67.302
3.6123,1331.3,,-66.865
3.6623,1361,,-66.342
3.7123,1390.4,,-65.877
3.7623,1419.7,,-65.428
3.8123,1448.8,,-65.048
3.8623,1477.8,,-64.615
3.9123,1506.6,,-64.218
3.9623,1535.2,,-63.755
4.0123,1563.7,,-63.355
4.0623,1592,,-62.933
4.1123,1620.2,,-62.444
4.1623,1648.2,,-62.096
4.2123,1676,,-61.807
4.2623,1703.7,,-61.461
4.3123,1731.3,,-61.039
4.3623,1758.7,,-60.658
4.4123,1785.9,,-60.238
4.4623,1813,,-59.874
4.5123,1839.9,,-59.566
4.5623,1866.7,,-59.239
4.6123,1893.4,,-58.827
4.6623,1919.9,,-58.47
4.7123,1946.2,,-58.154
4.7623,1972.4,,-57.902
4.8123,1998.5,,-57.643
4.8623,2024.4,,-57.287
4.9123,2050.2,,-56.923
4.9623,2075.8,,-56.544
5.0123,2101.3,,-56.249
5.0623,2126.6,,-55.962
5.1123,2151.8,,-55.68
5.1623,2176.9,,-55.405
5.2123,2201.8,,-55.131
5.2623,2226.6,,-54.91
5.3123,2251.3,,-54.641
5.3623,2275.8,,-54.318
5.4123,2300.2,,-53.956
5.4623,2324.4,,-53.596
5.5123,2348.5,,-53.325
5.5623,2372.5,,-53.156
5.6123,2396.4,,-52.965
5.6623,2420.1,,-52.696
5.7123,2443.7,,-52.427
5.7623,2467.1,,-52.143
5.8123,2490.4,,-51.869
5.8623,2513.6,,-51.648
5.9123,2536.7,,-51.458
5.9623,2559.6,,-51.226
6.0123,2582.4,,-51.044
6.0623,2605.1,,-50.763
6.1123,2627.7,,-50.476
6.1623,2650.1,,-50.153
6.2123,2672.4,,-49.862
6.2623,2694.6,,-49.646
6.3123,2716.6,,-49.53
6.3623,2738.5,,-49.456
6.4123,2760.3,,-49.306
6.4623,2782,,-49.155
6.5123,2803.6,,-48.84
6.5623,2825,,-48.434
6.6123,2846.3,,-48.137
6.6623,2867.5,,-47.951
6.7123,2888.6,,-47.876
6.7623,2909.5,,-47.82
6.8123,2930.4,,-47.704
6.8623,2951.1,,-47.529
6.9123,2971.7,,-47.211
6.9623,2992.2,,-46.941
7.0123,3012.5,,-46.668
7.0623,3032.8,,-46.48
7.1123,3052.9,,-46.277
7.1623,3072.9,,-46.13
7.2123,3092.8,,-45.954
7.2623,3112.6,,-45.865
7.3123,3132.3,,-45.802
7.3623,3151.8,,-45.684
7.4123,3171.3,,-45.51
7.4623,3190.6,,-45.229
7.5123,3209.8,,-44.956
7.5623,3228.9,,-44.733
7.6123,3247.9,,-44.573
7.6623,3266.8,,-44.424
7.7123,3285.5,,-44.361
7.7623,3304.2,,-44.258
7.8123,3322.7,,-44.113
7.8623,3341.2,,-43.975
7.9123,3359.5,,-43.894
7.9623,3377.7,,-43.714
8.0123,3395.8,,-43.498
8.0623,3413.8,,-43.276
8.1123,3431.7,,-43.047
8.1623,3449.5,,-42.904
8.2123,3467.1,,-42.803
8.2623,3484.7,,-42.739
8.3123,3502.2,,-42.635
8.3623,3519.5,,-42.535
8.4123,3536.8,,-42.401
8.4623,3553.9,,-42.246
8.5123,3570.9,,-42.115
8.5623,3587.9,,-41.954
8.6123,3604.7,,-41.782
8.6623,3621.4,,-41.62
8.7123,3638,,-41.437
8.7623,3654.5,,-41.339
8.8123,3670.9,,-41.305
8.8623,3687.3,,-41.211
8.9123,3703.5,,-41.163
8.9623,3719.6,,-41.026
9.0123,3735.6,,-40.877
9.0623,3751.4,,-40.715
9.1123,3767.2,,-40.609
9.1623,3782.9,,-40.465
9.2123,3798.5,,-40.331
9.2623,3814,,-40.19
9.3123,3829.4,,-40.076
9.3623,3844.7,,-39.982
9.4123,3859.9,,-39.903
9.4623,3875,,-39.76
9.5123,3890,,-39.666
9.5623,3904.8,,-39.576
9.6123,3919.6,,-39.524
9.6623,3934.3,,-39.458
9.7123,3948.9,,-39.339
9.7623,3963.4,,-39.254
9.8123,3977.8,,-39.139
9.8623,3992.1,,-39.008
9.9123,4006.3,,-38.901
9.9623,4020.4,,-38.776
10.012,4034.4,,-38.663
10.062,4048.3,,-38.559
10.112,4062.2,,-38.471
10.162,4075.9,,-38.348
10.212,4089.5,,-38.242
10.262,4103,,-38.227
10.312,4116.5,,-38.169
10.362,4129.8,,-38.08
10.412,4143,,-38.01
10.462,4156.2,,-37.883
10.512,4169.2,,-37.794
10.562,4182.2,,-37.714
10.612,4195.1,,-37.633
10.662,4207.8,,-37.571
10.712,4220.5,,-37.522
10.762,4233.1,,-37.451
10.812,4245.6,,-37.335
10.862,4258,,-37.256
10.912,4270.3,,-37.111
10.962,4282.5,,-37.03
11.012,4294.6,,-36.897
11.062,4306.6,,-36.798
11.112,4318.5,,-36.749
11.162,4330.4,,-36.759
11.212,4342.1,,-36.724
11.262,4353.8,,-36.67
11.312,4365.4,,-36.59
11.362,4376.8,,-36.513
11.412,4388.2,,-36.418
11.462,4399.5,,-36.291
11.512,4410.7,,-36.185
11.562,4421.8,,-36.106
11.612,4432.8,,-36.025
11.662,4443.8,,-35.962
11.712,4454.6,,-35.892
11.762,4465.3,,-35.832
11.812,4476,,-35.828
11.862,4486.6,,-35.797
11.912,4497.1,,-35.784
11.962,4507.4,,-35.725
12.012,4517.7,,-35.684
12.062,4528,,-35.585
12.112,4538.1,,-35.513
12.162,4548.1,,-35.48
12.212,4558.1,,-35.399
12.262,4567.9,,-35.338
12.312,4577.7,,-35.29
12.362,4587.4,,-35.212
12.412,4597,,-35.159
12.462,4606.5,,-35.08
12.512,4615.9,,-34.987
12.562,4625.2,,-34.913
12.612,4634.5,,-34.884
12.662,4643.6,,-34.807
12.712,4652.7,,-34.744
12.762,4661.7,,-34.652
12.812,4670.6,,-34.599
12.862,4679.4,,-34.531
12.912,4688.1,,-34.473
12.962,4696.7,,-34.449
13.012,4705.3,,-34.434
13.062,4713.7,,-34.437
13.112,4722.1,,-34.464
13.162,4730.4,,-34.42
13.212,4738.6,,-34.42
13.262,4746.7,,-34.357
13.312,4754.8,,-34.344
13.362,4762.7,,-34.317
13.412,4770.6,,-34.273
13.462,4778.3,,-34.218
13.512,4786,,-34.144
13.562,4793.6,,-34.057
13.612,4801.2,,-33.99
13.662,4808.6,,-33.919
13.712,4815.9,,-33.837
13.762,4823.2,,-33.765
13.812,4830.4,,-33.712
13.862,4837.5,,-33.648
13.912,4844.5,,-33.618
13.962,4851.4,,-33.613
14.012,4858.3,,-33.563
14.062,4865,,-33.517
14.112,4871.7,,-33.499
14.162,4878.3,,-33.459
14.212,4884.8,,-33.429
14.262,4891.2,,-33.385
14.312,4897.6,,-33.36
14.362,4903.8,,-33.315
14.412,4910,,-33.286
14.462,4916.1,,-33.275
14.512,4922.1,,-33.242
14.562,4928.1,,-33.209
14.612,4933.9,,-33.183
14.662,4939.7,,-33.185
14.712,4945.3,,-33.145
14.762,4950.9,,-33.121
14.812,4956.4,,-33.099
14.862,4961.9,,-33.084
14.912,4967.2,,-33.079
14.962,4972.5,,-33.063
15.012,4977.7,,-33.039
15.062,4982.8,,-33.061
15.112,4987.8,,-33.075
15.162,4992.7,,-33.076
15.212,4997.6,,-33.023
15.262,5002.3,,-32.933
15.312,5007,,-32.89
15.362,5011.6,,-32.841
15.412,5016.1,,-32.8
15.462,5020.6,,-32.751
15.512,5024.9,,-32.682
15.562,5029.2,,-32.653
15.612,5033.4,,-32.595
15.662,5037.5,,-32.55
15.712,5041.5,,-32.514
15.762,5045.5,,-32.478
15.812,5049.4,,-32.445
15.862,5053.2,,-32.408
15.912,5056.9,,-32.371
15.962,5060.5,,-32.342
16.012,5064,,-32.293
16.062,5067.5,,-32.251
16.112,5070.9,,-32.216
16.162,5074.2,,-32.197
16.212,5077.4,,-32.202
16.262,5080.5,,-32.187
16.312,5083.6,,-32.185
16.362,5086.6,,-32.178
16.412,5089.5,,-32.164
16.462,5092.3,,-32.168
16.512,5095,,-32.138
16.562,5097.7,,-32.102
16.612,5100.3,,-32.101
16.662,5102.8,,-32.109
16.712,5105.2,,-32.088
16.762,5107.5,,-32.058
16.812,5109.8,,-32.032
16.862,5112,,-31.99
16.912,5114.1,,-31.915
16.962,5116.1,,-31.88
17.012,5118,,-31.868
17.062,5119.9,,-31.847
17.112,5121.7,,-31.815
17.162,5123.4,,-31.801
17.212,5125,,-31.754
17.262,5126.5,,-31.711
17.312,5128,,-31.704
17.362,5129.4,,-31.662
17.412,5130.7,,-31.622
17.462,5131.9,,-31.601
17.512,5133,,-31.542
17.562,5134.1,,-31.488
17.612,5135.1,,-31.443
17.662,5136,,-31.349
17.712,5136.8,,-31.305
17.762,5137.6,,-31.197
17.812,5138.3,,-31.082
17.862,5138.9,,-30.98
17.912,5139.4,,-30.92
17.962,5139.8,,-30.879
18.012,5140.2,,-30.798
18.062,5140.5,,-30.711
18.112,5140.7,,-30.614
18.162,5140.8,,-30.565
18.212,5140.9,,-30.468
18.262,5140.9,,-30.358
# Event APOGEE occurred at t=18.312 seconds,,,
18.312,5140.8,,-30.262
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=18.313 seconds,,,
18.366,5140.6,,-31.548
18.417,5140.3,,-31.222
18.47,5140,,-30.897
18.522,5139.5,,-30.571
18.576,5139,,-30.229
18.63,5138.4,,-29.89
18.684,5137.6,,-29.526
18.739,5136.8,,-29.111
18.795,5135.9,,-28.72
18.852,5134.9,,-28.316
18.91,5133.8,,-27.857
18.968,5132.5,,-27.379
19.028,5131.2,,-26.885
19.088,5129.7,,-26.328
19.15,5128.1,,-25.806
19.213,5126.3,,-25.24
19.278,5124.4,,-24.615
19.344,5122.4,,-23.971
19.411,5120.2,,-23.323
19.481,5117.9,,-22.66
19.552,5115.3,,-21.953
19.626,5112.6,,-21.21
19.702,5109.7,,-20.453
19.78,5106.5,,-19.686
19.862,5103.1,,-18.901
19.947,5099.4,,-18.09
20.036,5095.4,,-17.177
20.13,5091.1,,-16.289
20.228,5086.4,,-15.342
20.331,5081.3,,-14.386
20.441,5075.7,,-13.452
20.558,5069.6,,-12.452
20.683,5062.9,,-11.395
20.817,5055.5,,-10.41
20.965,5047.1,,-9.4613
21.127,5037.8,,-8.4253
21.305,5027.2,,-7.3525
21.507,5015,,-6.3862
21.736,5000.8,,-5.3273
22.003,4984,,-4.3303
22.313,4964.1,,-3.3413
22.682,4940.1,,-2.4491
23.182,4907.2,,-1.7302
23.682,4873.8,,-0.94504
24.182,4840.4,,-0.49969
24.682,4806.8,,-0.21669
25.182,4773.2,,-0.085294
25.682,4739.5,,-0.014961
26.182,4705.9,,0.01299
26.682,4672.3,,0.038384
27.182,4638.7,,0.047826
27.682,4605.1,,0.063086
28.182,4571.5,,0.061
28.682,4537.9,,0.064717
29.182,4504.4,,0.066936
29.682,4470.8,,0.06767
30.182,4437.3,,0.06907
30.682,4403.8,,0.069362
31.182,4370.3,,0.068375
31.682,4336.9,,0.067445
32.182,4303.4,,0.070161
32.682,4270,,0.066327
33.182,4236.6,,0.068687
33.682,4203.2,,0.073501
34.182,4169.8,,0.063888
34.682,4136.4,,0.065773
35.182,4103.1,,0.066408
35.682,4069.8,,0.068465
36.182,4036.4,,0.065543
36.682,4003.2,,0.066592
37.182,3969.9,,0.067113
37.682,3936.6,,0.065381
38.182,3903.4,,0.065956
38.682,3870.1,,0.064936
39.182,3836.9,,0.065485
39.682,3803.7,,0.066635
40.182,3770.5,,0.065341
40.682,3737.4,,0.065507
41.182,3704.2,,0.064209
41.682,3671.1,,0.06561
42.182,3638,,0.064046
42.682,3604.9,,0.065439
43.182,3571.8,,0.070031
43.682,3538.7,,0.062677
44.182,3505.7,,0.061677
44.682,3472.6,,0.062689
45.182,3439.6,,0.064452
45.682,3406.6,,0.065854
46.182,3373.6,,0.062232
46.682,3340.7,,0.063819
47.182,3307.7,,0.061757
47.682,3274.8,,0.062368
48.182,3241.8,,0.063572
48.682,3208.9,,0.064457
49.182,3176,,0.067008
49.682,3143.2,,0.065807
50.182,3110.3,,0.065343
50.682,3077.5,,0.07076
51.182,3044.6,,0.063449
51.682,3011.8,,0.065377
52.182,2979,,0.064273
52.682,2946.3,,0.064737
53.182,2913.5,,0.068659
53.682,2880.8,,0.063142
54.182,2848,,0.065809
54.682,2815.3,,0.063537
55.182,2782.6,,0.063946
55.682,2749.9,,0.06437
56.182,2717.3,,0.064083
56.682,2684.6,,0.06453
57.182,2652,,0.067369
57.682,2619.4,,0.069695
58.182,2586.8,,0.061973
58.682,2554.2,,0.063963
59.182,2521.6,,0.061433
59.682,2489.1,,0.066415
60.182,2456.6,,0.058487
60.682,2424,,0.066845
61.182,2391.5,,0.068427
61.682,2359,,0.056201
62.182,2326.6,,0.060952
62.682,2294.1,,0.060005
63.182,2261.7,,0.063944
63.682,2229.3,,0.062405
64.182,2196.8,,0.059023
64.682,2164.5,,0.063902
65.182,2132.1,,0.061863
65.682,2099.7,,0.059097
66.182,2067.4,,0.061346
66.682,2035,,0.060428
67.182,2002.7,,0.060002
67.682,1970.4,,0.060493
68.182,1938.1,,0.064588
68.682,1905.8,,0.062437
69.182,1873.6,,0.058805
69.682,1841.3,,0.05805
70.182,1809.1,,0.063322
70.682,1776.9,,0.059124
71.182,1744.7,,0.058333
71.682,1712.5,,0.058763
72.182,1680.4,,0.060482
72.682,1648.2,,0.062325
73.182,1616.1,,0.056561
73.682,1584,,0.063393
74.182,1551.8,,0.059225
74.682,1519.8,,0.060493
75.182,1487.7,,0.062005
75.682,1455.6,,0.06165
76.182,1423.6,,0.061709
76.682,1391.5,,0.068389
77.182,1359.5,,0.060893
77.682,1327.5,,0.05986
78.182,1295.5,,0.059744
78.682,1263.6,,0.061298
79.182,1231.6,,0.061498
79.682,1199.7,,0.065517
80.182,1167.8,,0.062464
80.682,1135.9,,0.057496
81.182,1104,,0.058432
81.682,1072.1,,0.061981
82.182,1040.2,,0.058871
82.682,1008.4,,0.062414
83.182,976.56,,0.06248
83.682,944.74,,0.056691
84.182,912.94,,0.060328
84.682,881.16,,0.060091
85.182,849.38,,0.057632
85.682,817.63,,0.058251
86.182,785.89,,0.065375
86.682,754.16,,0.059646
87.182,722.45,,0.055531
87.682,690.75,,0.056809
88.182,659.07,,0.058455
88.682,627.4,,0.061078
89.182,595.75,,0.065162
89.682,564.12,,0.063722
90.182,532.49,,0.051702
90.682,500.89,,0.053389
91.182,469.29,,0.055471
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=91.183 seconds,,,
91.682,437.71,,0.057219
91.683,437.61,,1040.4
91.685,437.51,,985.38
91.687,437.41,,931.83
91.689,437.3,,879.73
91.691,437.19,,829.08
91.693,437.08,,779.87
91.695,436.96,,732.11
91.697,436.84,,685.8
91.7,436.71,,640.93
91.703,436.58,,597.52
91.706,436.45,,555.55
91.709,436.3,,515.03
91.712,436.16,,475.95
91.716,436,,438.32
91.72,435.84,,402.14
91.724,435.67,,367.41
91.729,435.5,,334.12
91.735,435.31,,302.29
91.741,435.11,,271.89
91.748,434.9,,242.95
91.755,434.68,,215.46
91.764,434.44,,189.41
91.774,434.17,,164.81
91.785,433.89,,141.65
91.799,433.58,,119.95
91.816,433.23,,99.693
91.836,432.83,,80.885
91.862,432.36,,63.526
91.896,431.8,,47.61
91.946,431.07,,33.138
92.027,430,,20.134
92.218,427.81,,8.5732
92.718,422.29,,-1.5306
93.112,418.02,,3.1292
93.469,414.12,,-4.0771
93.838,410.12,,4.4178
94.161,406.62,,-5.0831
94.452,403.42,,4.6349
94.898,398.47,,-3.462
95.178,395.38,,5.757
95.577,391,,-3.8027
95.889,387.57,,5.1483
96.197,384.25,,-4.1698
96.697,378.92,,3.0913
96.978,375.91,,-5.7702
97.435,371.02,,3.5835
97.702,368.19,,-5.7635
98.19,362.98,,3.0033
98.467,360.01,,-5.3403
98.967,354.68,,3.0857
99.241,351.77,,-5.7122
99.741,346.44,,3.2079
100.01,343.55,,-5.9907
100.47,338.69,,3.389
100.73,335.87,,-5.315
101.23,330.52,,2.5906
101.57,326.87,,-4.8817
101.89,323.38,,4.7848
102.27,319.18,,-4.2856
102.57,315.91,,5.4417
102.94,311.86,,-4.123
103.24,308.5,,4.9052
103.65,304.07,,-4.0488
103.93,300.9,,5.6356
104.29,297.02,,-3.927
104.68,292.85,,4.1932
104.98,289.58,,-5.2257
105.36,285.45,,4.0143
105.69,281.87,,-4.9638
106.02,278.28,,4.6785
106.38,274.35,,-4.4072
106.67,271.21,,5.0544
107.12,266.2,,-3.5988
107.39,263.25,,6.1603
107.77,259.03,,-3.5595
108.12,255.25,,4.4972
108.45,251.63,,-4.6737
108.8,247.83,,4.4759
109.14,244.23,,-4.6974
109.51,240.22,,4.419
109.83,236.78,,-5.1463
110.1,233.75,,4.632
110.6,228.18,,-3.1422
110.86,225.3,,6.3149
111.3,220.39,,-3.5113
111.57,217.45,,5.8358
112.03,212.41,,-3.517
112.29,209.48,,6.0907
112.65,205.56,,-3.4141
113,201.81,,3.8036
113.4,197.38,,-4.0113
113.69,194.17,,5.6053
114.07,189.98,,-4.1139
114.38,186.63,,5.2205
114.75,182.64,,-4.2493
115.02,179.58,,5.0222
115.5,174.27,,-3.4215
115.75,171.48,,6.4517
116.25,165.98,,-3.3202
116.5,163.21,,6.5799
116.97,157.92,,-3.2865
117.24,154.96,,6.127
117.67,150.27,,-3.6709
117.95,147.1,,5.654
118.31,143.2,,-3.9736
118.69,139.14,,4.3536
118.96,136.27,,-5.0117
119.31,132.48,,2.7829
119.66,128.73,,-2.9017
120.16,123.41,,2.7753
120.44,120.41,,-5.0896
120.91,115.35,,3.0691
121.2,112.28,,-5.3249
121.65,107.45,,3.4928
121.92,104.59,,-5.5455
122.42,99.28,,2.9489
122.71,96.163,,-5.54
123.14,91.59,,3.8243
123.42,88.583,,-5.6327
123.78,84.712,,3.6418
124.14,80.771,,-4.0485
124.42,77.736,,4.7252
124.89,72.579,,-3.2007
125.16,69.584,,5.7789
125.59,64.804,,-3.6502
125.87,61.772,,5.8417
126.29,57.061,,-3.7975
126.57,54.018,,5.9315
126.92,50.23,,-3.7404
127.35,45.656,,3.8285
127.63,42.612,,-5.6801
127.94,39.237,,3.8877
128.4,34.169,,-3.4041
128.62,31.767,,6.2192
129.12,26.252,,-2.1407
129.47,22.423,,4.3098
129.82,18.668,,-4.701
130.14,15.186,,4.9313
130.47,11.569,,-4.35
130.86,7.4477,,4.1439
131.15,4.3182,,-5.0616
131.51,0.44698,,3.5754
# Event GROUND_HIT occurred at t=131.89 seconds,,,
131.89,-3.6709,,-4.0257
131.89,0,,0
# Event SIMULATION_END occurred at t=1.7977e308 seconds,,,
# Event SIMULATION_END occurred at t=1.7977e308 seconds,,,
